"Año";"Periodo";"Casos diarios (valores negativos se deben a ajustes de Sanidad o las CCAA en la serie histórica)"
"2020";"Día 7 de agosto";"1.411"
"2020";"Día 10 de agosto";"2.447"
"2020";"Día 11 de agosto";"486"
"2020";"Día 12 de agosto";"0"
"2020";"Día 13 de agosto";"3.146"
"2020";"Día 14 de agosto";"1.215"
"2020";"Día 17 de agosto";"5.392"
"2020";"Día 18 de agosto";"1.619"
"2020";"Día 19 de agosto";"2.207"
"2020";"Día 20 de agosto";"2.344"
"2020";"Día 21 de agosto";"2.853"
"2020";"Día 24 de agosto";"5.992"
"2020";"Día 25 de agosto";"1.926"
"2020";"Día 26 de agosto";"2.214"
"2020";"Día 27 de agosto";"2.645"
"2020";"Día 28 de agosto";"3.441"
"2020";"Día 31 de agosto";"7.457"
"2020";"Día 1 de septiembre";"2.121"
"2020";"Día 2 de septiembre";"2.401"
"2020";"Día 3 de septiembre";"3.077"
"2020";"Día 4 de septiembre";"3.245"
"2020";"Día 7 de septiembre";"9.440"
"2020";"Día 8 de septiembre";"2.921"
"2020";"Día 9 de septiembre";"2.923"
"2020";"Día 10 de septiembre";"3.841"
"2020";"Día 11 de septiembre";"4.195"
"2020";"Día 14 de septiembre";"10.864"
"2020";"Día 15 de septiembre";"3.595"
"2020";"Día 16 de septiembre";"3.438"
"2020";"Día 17 de septiembre";"3.841"
"2020";"Día 18 de septiembre";"5.086"
"2020";"Día 21 de septiembre";"11.991"
"2020";"Día 22 de septiembre";"3.652"
"2020";"Día 23 de septiembre";"3.730"
"2020";"Día 24 de septiembre";"4.350"
"2020";"Día 25 de septiembre";"2.941"
"2020";"Día 28 de septiembre";"13.449"
"2020";"Día 29 de septiembre";"3.228"
"2020";"Día 30 de septiembre";"4.810"
"2020";"Día 1 de octubre";"3.227"
"2020";"Día 2 de octubre";"2.536"
"2020";"Día 5 de octubre";"6.616"
"2020";"Día 6 de octubre";"5.187"
"2020";"Día 7 de octubre";"2.853"
"2020";"Día 8 de octubre";"3.152"
"2020";"Día 9 de octubre";"2.995"
"2020";"Día 12 de octubre";"5.134"
"2020";"Día 13 de octubre";"1.126"
"2020";"Día 14 de octubre";"2.723"
