"Año";"Periodo";"Fallecidos"
"2020";"Día 9 de abril";"5.595"
"2020";"Día 10 de abril";"5.751"
"2020";"Día 11 de abril";"5.890"
"2020";"Día 12 de abril";"6.013"
"2020";"Día 13 de abril";"6.154"
"2020";"Día 14 de abril";"6.288"
"2020";"Día 15 de abril";"6.414"
"2020";"Día 16 de abril";"6.526"
"2020";"Día 17 de abril";"6.631"
"2020";"Día 18 de abril";"6.726"
"2020";"Día 19 de abril";"6.824"
"2020";"Día 20 de abril";"6.923"
"2020";"Día 21 de abril";"7.021"
"2020";"Día 22 de abril";"7.104"
"2020";"Día 23 de abril";"7.184"
"2020";"Día 24 de abril";"7.264"
"2020";"Día 25 de abril";"7.329"
"2020";"Día 26 de abril";"7.387"
"2020";"Día 27 de abril";"7.440"
"2020";"Día 28 de abril";"7.486"
"2020";"Día 29 de abril";"7.542"
"2020";"Día 30 de abril";"7.595"
"2020";"Día 1 de mayo";"7.634"
"2020";"Día 2 de mayo";"7.683"
"2020";"Día 3 de mayo";"7.724"
"2020";"Día 4 de mayo";"7.771"
"2020";"Día 5 de mayo";"7.804"
"2020";"Día 6 de mayo";"7.838"
"2020";"Día 7 de mayo";"7.882"
"2020";"Día 8 de mayo";"7.922"
"2020";"Día 9 de mayo";"7.964"
"2020";"Día 10 de mayo";"7.985"
"2020";"Día 11 de mayo";"8.016"
"2020";"Día 12 de mayo";"8.047"
"2020";"Día 13 de mayo";"8.069"
"2020";"Día 14 de mayo";"8.091"
"2020";"Día 15 de mayo";"8.114"
"2020";"Día 16 de mayo";"8.133"
"2020";"Día 17 de mayo";"8.148"
"2020";"Día 18 de mayo";"8.174"
"2020";"Día 19 de mayo";"8.194"
"2020";"Día 20 de mayo";"8.209"
"2020";"Día 21 de mayo";"8.225"
"2020";"Día 22 de mayo";"8.245"
"2020";"Día 23 de mayo";"8.264"
"2020";"Día 24 de mayo";"8.287"
"2020";"Día 25 de mayo";"8.312"
"2020";"Día 26 de mayo";"8.336"
"2020";"Día 27 de mayo";"8.352"
"2020";"Día 28 de mayo";"8.366"
"2020";"Día 29 de mayo";"8.381"
"2020";"Día 30 de mayo";"8.388"
"2020";"Día 31 de mayo";"8.402"
"2020";"Día 1 de junio";"8.416"
"2020";"Día 2 de junio";"8.435"
"2020";"Día 3 de junio";"8.452"
"2020";"Día 4 de junio";"8.469"
"2020";"Día 5 de junio";"8.479"
"2020";"Día 6 de junio";"8.492"
"2020";"Día 7 de junio";"8.499"
"2020";"Día 8 de junio";"8.508"
"2020";"Día 9 de junio";"8.514"
"2020";"Día 10 de junio";"8.524"
"2020";"Día 11 de junio";"8.537"
"2020";"Día 12 de junio";"8.549"
"2020";"Día 13 de junio";"8.558"
"2020";"Día 14 de junio";"8.568"
"2020";"Día 15 de junio";"8.572"
"2020";"Día 16 de junio";"8.578"
"2020";"Día 17 de junio";"8.589"
"2020";"Día 18 de junio";"8.593"
"2020";"Día 19 de junio";"8.604"
"2020";"Día 20 de junio";"8.610"
"2020";"Día 21 de junio";"8.615"
"2020";"Día 22 de junio";"8.620"
"2020";"Día 23 de junio";"8.624"
"2020";"Día 24 de junio";"8.630"
"2020";"Día 25 de junio";"8.637"
"2020";"Día 26 de junio";"8.638"
"2020";"Día 27 de junio";"8.639"
"2020";"Día 28 de junio";"8.642"
"2020";"Día 29 de junio";"8.643"
"2020";"Día 30 de junio";"8.646"
"2020";"Día 1 de julio";"8.648"
"2020";"Día 2 de julio";"8.648"
"2020";"Día 3 de julio";"8.648"
"2020";"Día 4 de julio";"8.649"
"2020";"Día 5 de julio";"8.649"
"2020";"Día 6 de julio";"8.649"
"2020";"Día 7 de julio";"8.650"
"2020";"Día 8 de julio";"8.650"
"2020";"Día 9 de julio";"8.651"
"2020";"Día 10 de julio";"8.651"
"2020";"Día 11 de julio";"8.651"
"2020";"Día 12 de julio";"8.651"
"2020";"Día 13 de julio";"8.652"
"2020";"Día 14 de julio";"8.652"
"2020";"Día 15 de julio";"8.653"
"2020";"Día 16 de julio";"8.653"
"2020";"Día 17 de julio";"8.653"
"2020";"Día 18 de julio";"8.653"
"2020";"Día 19 de julio";"8.654"
"2020";"Día 20 de julio";"8.655"
"2020";"Día 21 de julio";"8.656"
"2020";"Día 22 de julio";"8.657"
"2020";"Día 23 de julio";"8.657"
"2020";"Día 24 de julio";"8.658"
"2020";"Día 25 de julio";"8.658"
"2020";"Día 26 de julio";"8.658"
"2020";"Día 27 de julio";"8.658"
"2020";"Día 28 de julio";"8.658"
"2020";"Día 29 de julio";"8.658"
"2020";"Día 30 de julio";"8.660"
"2020";"Día 31 de julio";"8.661"
"2020";"Día 1 de agosto";"8.661"
"2020";"Día 2 de agosto";"8.664"
"2020";"Día 3 de agosto";"8.665"
"2020";"Día 4 de agosto";"8.666"
"2020";"Día 5 de agosto";"8.668"
"2020";"Día 6 de agosto";"8.668"
"2020";"Día 7 de agosto";"8.672"
"2020";"Día 8 de agosto";"8.676"
"2020";"Día 9 de agosto";"8.677"
"2020";"Día 10 de agosto";"8.682"
"2020";"Día 11 de agosto";"8.686"
"2020";"Día 12 de agosto";"8.690"
"2020";"Día 13 de agosto";"8.697"
"2020";"Día 14 de agosto";"8.706"
"2020";"Día 15 de agosto";"8.714"
"2020";"Día 16 de agosto";"8.722"
"2020";"Día 17 de agosto";"8.728"
"2020";"Día 18 de agosto";"8.737"
"2020";"Día 19 de agosto";"8.744"
"2020";"Día 20 de agosto";"8.753"
"2020";"Día 21 de agosto";"8.761"
