"Año";"Periodo";"Muertes notificadas cada día"
"2020";"Día 15 de noviembre";"20"
"2020";"Día 16 de noviembre";"27"
"2020";"Día 17 de noviembre";"22"
"2020";"Día 18 de noviembre";"15"
"2020";"Día 19 de noviembre";"27"
"2020";"Día 20 de noviembre";"29"
"2020";"Día 21 de noviembre";"6"
"2020";"Día 22 de noviembre";"5"
"2020";"Día 23 de noviembre";"8"
"2020";"Día 24 de noviembre";"3"
"2020";"Día 25 de noviembre";"12"
"2020";"Día 26 de noviembre";"19"
"2020";"Día 27 de noviembre";"6"
"2020";"Día 28 de noviembre";"6"
"2020";"Día 29 de noviembre";"12"
"2020";"Día 30 de noviembre";"2"
"2020";"Día 1 de diciembre";"2"
"2020";"Día 2 de diciembre";"0"
"2020";"Día 3 de diciembre";"77"
"2020";"Día 4 de diciembre";"13"
"2020";"Día 7 de diciembre";"19"
"2020";"Día 9 de diciembre";"4"
"2020";"Día 10 de diciembre";"48"
"2020";"Día 11 de diciembre";"40"
"2020";"Día 14 de diciembre";"19"
"2020";"Día 15 de diciembre";"34"
"2020";"Día 16 de diciembre";"29"
"2020";"Día 17 de diciembre";"16"
"2020";"Día 18 de diciembre";"2"
"2020";"Día 21 de diciembre";"23"
"2020";"Día 22 de diciembre";"20"
"2020";"Día 23 de diciembre";"3"
"2020";"Día 24 de diciembre";"4"
"2020";"Día 28 de diciembre";"5"
"2020";"Día 29 de diciembre";"61"
"2020";"Día 30 de diciembre";"74"
"2020";"Día 31 de diciembre";"1"
"2021";"Día 4 de enero";"6"
"2021";"Día 5 de enero";"54"
"2021";"Día 7 de enero";"65"
"2021";"Día 8 de enero";"18"
"2021";"Día 11 de enero";"25"
"2021";"Día 12 de enero";"5"
"2021";"Día 13 de enero";"5"
"2021";"Día 14 de enero";"14"
"2021";"Día 15 de enero";"20"
"2021";"Día 18 de enero";"14"
"2021";"Día 19 de enero";"46"
"2021";"Día 20 de enero";"49"
"2021";"Día 21 de enero";"61"
"2021";"Día 22 de enero";"56"
"2021";"Día 25 de enero";"106"
"2021";"Día 26 de enero";"53"
"2021";"Día 27 de enero";"54"
"2021";"Día 28 de enero";"56"
"2021";"Día 29 de enero";"43"
"2021";"Día 1 de febrero";"32"
"2021";"Día 2 de febrero";"59"
"2021";"Día 3 de febrero";"72"
"2021";"Día 4 de febrero";"63"
"2021";"Día 5 de febrero";"29"
"2021";"Día 8 de febrero";"91"
"2021";"Día 9 de febrero";"101"
"2021";"Día 10 de febrero";"55"
"2021";"Día 11 de febrero";"99"
"2021";"Día 12 de febrero";"76"
"2021";"Día 15 de febrero";"55"
"2021";"Día 16 de febrero";"71"
"2021";"Día 17 de febrero";"27"
"2021";"Día 18 de febrero";"53"
"2021";"Día 19 de febrero";"77"
"2021";"Día 22 de febrero";"93"
"2021";"Día 23 de febrero";"31"
"2021";"Día 24 de febrero";"51"
"2021";"Día 25 de febrero";"80"
"2021";"Día 26 de febrero";"49"
"2021";"Día 1 de marzo";"32"
"2021";"Día 2 de marzo";"71"
"2021";"Día 3 de marzo";"70"
"2021";"Día 4 de marzo";"53"
"2021";"Día 5 de marzo";"36"
"2021";"Día 8 de marzo";"19"
"2021";"Día 9 de marzo";"88"
"2021";"Día 10 de marzo";"39"
"2021";"Día 11 de marzo";"28"
"2021";"Día 12 de marzo";"35"
"2021";"Día 15 de marzo";"24"
"2021";"Día 16 de marzo";"17"
"2021";"Día 17 de marzo";"34"
"2021";"Día 18 de marzo";"24"
"2021";"Día 22 de marzo";"19"
"2021";"Día 23 de marzo";"38"
"2021";"Día 24 de marzo";"24"
"2021";"Día 25 de marzo";"3"
"2021";"Día 26 de marzo";"0"
"2021";"Día 29 de marzo";"16"
"2021";"Día 30 de marzo";"36"
"2021";"Día 31 de marzo";"16"
"2021";"Día 1 de abril";"14"
"2021";"Día 3 de abril";"1"
"2021";"Día 5 de abril";"0"
"2021";"Día 6 de abril";"69"
"2021";"Día 7 de abril";"14"
"2021";"Día 8 de abril";"27"
;;
;;
"Métrica":"Muertes notificadas cada día"
"Fuente":"Ministerio de Sanidad, Servicios Sociales e Igualdad"
"Clasificación":""
"Unidad":"Número de fallecidos"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/muertes-coronavirus-notificadas-cada-dia-lugar/e89e3a36-d55d-49b2-8321-de3a7103e420/madrid/304"
"Titulo":"Muertes por coronavirus notificadas cada día en Comunidad de Madrid﻿ "
"Subtitulo":""
